0 0 0     0.000128416 0 0
0.00629238 -0.000140087 0.00154096     0.00629238 -0.000140087 0.00154096
0.00629238 -0.000140087 0.00154096     0.0064208 -0.000140087 0.00154096
0.0064208 -0.000140087 0.00154096     0.0064208 -0.000140087 0.00154096
0.0064208 -0.000140087 0.00154096     0.0064208 -0.000140087 0.00154096
0.0064208 -0.000140087 0.00154096     0.0064208 -0.000140087 0.00154096
0.0064208 -0.000140087 0.00154096     0.0064208 -0.000140087 0.00154096
0.0064208 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00154096
0.00654922 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00154096
0.00654922 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00154096
0.00654922 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00154096
0.00654922 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00154096
0.00654922 -0.000140087 0.00154096     0.00654922 -0.000140087 0.00168104
0.00654922 -0.000140087 0.00168104     0.00654922 -0.000140087 0.00168104
0.00654922 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00667763 -0.000140087 0.00168104
0.00667763 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00680605 -0.000140087 0.00168104
0.00680605 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00168104
0.00693446 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00168104
0.00693446 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00168104
0.00693446 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00168104
0.00693446 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00168104
0.00693446 -0.000140087 0.00168104     0.00693446 -0.000140087 0.00182113
0.00693446 -0.000140087 0.00182113     0.00693446 -0.000140087 0.00182113
0.00693446 -0.000140087 0.00182113     0.00693446 -0.000140087 0.00182113
0.00693446 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.00706288 -0.000140087 0.00182113
0.00706288 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.0071913 -0.000140087 0.00182113
0.0071913 -0.000140087 0.00182113     0.00731971 -0.000140087 0.00182113
0.00731971 -0.000140087 0.00182113     0.00731971 -0.000140087 0.00182113
0.00731971 -0.000140087 0.00182113     0.00731971 -0.000140087 0.00182113
0.00731971 -0.000140087 0.00182113     0.00731971 -0.000140087 0.00182113
0.00731971 -0.000140087 0.00182113     0.00731971 -0.000140087 0.00196122
0.00731971 -0.000140087 0.00196122     0.00731971 -0.000140087 0.00196122
0.00731971 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00744813 -0.000140087 0.00196122
0.00744813 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00757654 -0.000140087 0.00196122
0.00757654 -0.000140087 0.00196122     0.00770496 -0.000140087 0.00196122
0.00770496 -0.000140087 0.00196122     0.00770496 -0.000140087 0.00196122
0.00770496 -0.000140087 0.00196122     0.00770496 -0.000280174 0.00196122
0.00770496 -0.000280174 0.00196122     0.00770496 -0.000280174 0.00196122
0.00770496 -0.000280174 0.00196122     0.00770496 -0.000280174 0.00196122
0.00770496 -0.000280174 0.00196122     0.00770496 -0.000280174 0.0021013
0.00770496 -0.000280174 0.0021013     0.00770496 -0.000280174 0.0021013
0.00770496 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00783338 -0.000280174 0.0021013
0.00783338 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00796179 -0.000280174 0.0021013
0.00796179 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00809021 -0.000280174 0.0021013
0.00809021 -0.000280174 0.0021013     0.00821862 -0.000280174 0.0021013
0.00821862 -0.000280174 0.0021013     0.00821862 -0.000280174 0.00224139
0.00821862 -0.000280174 0.00224139     0.00821862 -0.000280174 0.00224139
0.00821862 -0.000280174 0.00224139     0.00821862 -0.000280174 0.00224139
0.00821862 -0.000280174 0.00224139     0.00821862 -0.000280174 0.00224139
0.00821862 -0.000280174 0.00224139     0.00821862 -0.000280174 0.00224139
0.00821862 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00834704 -0.000280174 0.00224139
0.00834704 -0.000280174 0.00224139     0.00847546 -0.000280174 0.00224139
0.00847546 -0.000280174 0.00224139     0.00847546 -0.000280174 0.00224139
0.00847546 -0.000280174 0.00224139     0.00847546 -0.000280174 0.00224139
0.00847546 -0.000280174 0.00224139     0.00847546 -0.000280174 0.00224139
0.00847546 -0.000280174 0.00224139     0.00847546 -0.000280174 0.00224139
0.00847546 -0.000280174 0.00224139     0.00860387 -0.000280174 0.00224139
0.00860387 -0.000280174 0.00224139     0.00860387 -0.000280174 0.00238148
