0 0 0     -1.77275e-09 2.76094e-05 0
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252657 0.00118861 1.61342e-07
0.000252657 0.00118861 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252503 0.00121626 1.61342e-07
0.000252503 0.00121626 1.61342e-07     0.000252345 0.0012439 1.61342e-07
0.000252345 0.0012439 1.61342e-07     0.000252345 0.0012439 1.61342e-07
0.000252345 0.0012439 1.61342e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.000280782 0.00124406 1.99187e-07
0.000280782 0.00124406 1.99187e-07     0.00028078 0.00124406 -2.99195e-05
0.00028078 0.00124406 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280618 0.00127171 -2.99195e-05
0.000280618 0.00127171 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280453 0.00129935 -2.99195e-05
0.000280453 0.00129935 -2.99195e-05     0.000280285 0.001327 -2.99195e-05
0.000280285 0.001327 -2.99195e-05     0.000280285 0.001327 -2.99195e-05
0.000280285 0.001327 -2.99195e-05     0.000280285 0.001327 -2.99195e-05
0.000280285 0.001327 -2.99195e-05     0.000280285 0.001327 -2.99195e-05
0.000280285 0.001327 -2.99195e-05     0.000308722 0.00132717 -2.98777e-05
0.000308722 0.00132717 -2.98777e-05     0.000308722 0.00132717 -2.98777e-05
0.000308722 0.00132717 -2.98777e-05     0.000308722 0.00132717 -2.98777e-05
0.000308722 0.00132717 -2.98777e-05     0.000308549 0.00135482 -2.98777e-05
0.000308549 0.00135482 -2.98777e-05     0.000308549 0.00135482 -2.98777e-05
0.000308549 0.00135482 -2.98777e-05     0.000308549 0.00135482 -2.98777e-05
0.000308549 0.00135482 -2.98777e-05     0.000308549 0.00135482 -2.98777e-05
0.000308549 0.00135482 -2.98777e-05     0.000308549 0.00135482 -2.98777e-05
0.000308549 0.00135482 -2.98777e-05     0.000308374 0.00138247 -2.98777e-05
0.000308374 0.00138247 -2.98777e-05     0.000308374 0.00138247 -2.98777e-05
0.000308374 0.00138247 -2.98777e-05     0.000308374 0.00138247 -2.98777e-05
