0 0 0     0 0 1
4294967288 29 110     4294967288 29 110
4294967288 29 110     4294967288 29 110
4294967288 29 110     4294967288 30 110
4294967288 30 110     4294967288 30 110
4294967288 30 110     4294967288 30 110
4294967288 30 110     4294967288 30 111
4294967288 30 111     4294967288 30 111
4294967288 30 111     4294967288 30 111
4294967288 30 111     4294967288 30 111
4294967288 30 111     4294967288 30 111
4294967288 30 111     4294967288 30 111
4294967288 30 111     4294967288 30 112
4294967288 30 112     4294967288 30 112
4294967288 30 112     4294967288 30 112
4294967288 30 112     4294967287 30 112
4294967287 30 112     4294967287 30 112
4294967287 30 112     4294967287 30 112
4294967287 30 112     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 113
4294967287 30 113     4294967287 30 114
4294967287 30 114     4294967287 30 114
4294967287 30 114     4294967287 30 114
4294967287 30 114     4294967287 30 114
4294967287 30 114     4294967287 30 114
4294967287 30 114     4294967287 30 114
4294967287 30 114     4294967287 30 115
4294967287 30 115     4294967287 30 115
4294967287 30 115     4294967287 30 115
4294967287 30 115     4294967287 31 115
4294967287 31 115     4294967287 31 115
4294967287 31 115     4294967287 31 115
4294967287 31 115     4294967287 31 115
4294967287 31 115     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 116
4294967287 31 116     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 117
4294967287 31 117     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 118
4294967287 31 118     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 119
4294967287 31 119     4294967287 31 120
4294967287 31 120     4294967287 31 120
4294967287 31 120     4294967286 31 120
4294967286 31 120     4294967286 32 120
4294967286 32 120     4294967286 32 120
4294967286 32 120     4294967286 32 120
4294967286 32 120     4294967286 32 120
4294967286 32 120     4294967286 32 120
4294967286 32 120     4294967286 32 121
4294967286 32 121     4294967286 32 121
